TargetUser,OtherUser,Similarity,CommonItems,DiscountFactor,DiscountedSimilarity
A1ER5AYS3FQ9O3,AXP8GO5Q3AXSA,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A3FZ0O8COAW8KX,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A2QDOJFFLFGF18,0.98,2,0.14,0.14
A1ER5AYS3FQ9O3,A1Q7A78VSQ5GQ4,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2NICGGIGIFU22,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1X9J1681131IO,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A1A535TCGNMVPI,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A2WZAANHW8G0P8,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AB3D3IQZCMGDL,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2DPSV4CTHV3YA,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2LZBTZH4K7VLR,0.95,2,0.14,0.14
A1ER5AYS3FQ9O3,A3SEBFKE82AFF0,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A1P1UEH9PMSHXG,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A26V7K8SXXJQRE,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A36JO8IHKYBMMJ,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A240FRPD4MEXND,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,AJ9AE2BVND0GS,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A1F92EK0MUNOVR,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3PEOF0GX4EN38,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2BPW6VO14ZJ9N,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A3AUL23GMCOP2A,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AWPN47SSWK1JV,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A22TR1K73XLREH,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1WY0YUS6QUQZ1,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A15DOMNJ4RME4Z,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A3R19YKNL641X3,0.98,4,0.29,0.28
A1ER5AYS3FQ9O3,A16YMCFWGSFGS9,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3HDUVH6N1CCF1,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,ABK0V7DLYO5NU,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A32WDBGM8L5WBR,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2GP6XJ1V3MM3L,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,AL4SB31UAZLXL,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1KEK09ZA6J9P8,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AJKWF4W7QD4NS,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2RUN9WBD5H23R,0.98,2,0.14,0.14
A1ER5AYS3FQ9O3,A316XO4RWX21YN,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1AL4V6YVM9OHS,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A5K5DIDKAML5C,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2CVXUY1EYQGGA,1.0,3,0.21,0.21
A1ER5AYS3FQ9O3,A36AIK1DQPSRNT,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AW8ESDU0C82O0,0.88,2,0.14,0.13
A1ER5AYS3FQ9O3,A10AAULK3SQEK1,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A6VPK7X53QNAQ,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A2J0NZ7LMOO8ZR,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A28N2AWOVO2PB,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1H37RIL09BS4D,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AE12AEJFCOGGY,0.99,3,0.21,0.21
A1ER5AYS3FQ9O3,A1XDMYX8QOW07N,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A19YOYY7FLQMA6,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A2CWIYIETNBAK3,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A11B61QBGHLQDN,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,AQCJWSMSURQI2,0.95,2,0.14,0.14
A1ER5AYS3FQ9O3,A1484U2Y4YFX2R,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A32GK89C999834,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A18DQ9ZJOPUWCO,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3OFR6PMLQZXGQ,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3LY8LCT1QE8I1,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1D6PWUMDY9F7V,0.96,3,0.21,0.21
A1ER5AYS3FQ9O3,ARC41G0OK4HA5,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A3AYSYSLHU26U9,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A1ZLRZ3XIGNRNJ,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A28YUFBI33QZ28,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A2TNAFIVKHR2I3,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,AKDYG1DVWLBAP,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A3AWV00ZU7MSK1,1.0,2,0.14,0.14
A1ER5AYS3FQ9O3,A25Z1ZI8QZ852J,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A2YPB8IOEU10XJ,0.99,2,0.14,0.14
A1ER5AYS3FQ9O3,A65C6U301OM6A,0.8,2,0.14,0.11
A1ER5AYS3FQ9O3,A3KOAAHCI18FKI,0.98,2,0.14,0.14
A1ER5AYS3FQ9O3,A2TUD0VXUTNO7N,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,A33B6W7LV7QXRU,0.97,2,0.14,0.14
A1ER5AYS3FQ9O3,AVEP0RMYJMG1V,0.99,2,0.14,0.14
